City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
282,Kirovskiy,RU,15.06,broken clouds,45.09,133.51,"Uyut, Gostinitsa"
283,Klaksvik,FO,48.2,light rain,62.23,-6.59,Airbnb rooms
284,Aswan,EG,49.55,clear sky,24.09,32.9,Nuba Nile
285,Hamilton,CA,34.0,light snow,43.26,-79.87,Sheraton Hamilton Hotel
287,Cascais,PT,46.99,clear sky,38.7,-9.42,Hotel Vila Galé Cascais
288,Elliot,ZA,67.39,overcast clouds,-31.33,27.85,Rose Garden Dinner Bed and Breakfast
289,General Pico,AR,61.79,broken clouds,-35.66,-63.75,Hotel Malargue
290,Bezdan,RS,23.0,clear sky,45.85,18.93,Camp Bezdan
291,Pedara,IT,50.0,clear sky,37.62,15.06,La Casa del Poeta dell'Etna
292,Nanchang,CN,72.82,clear sky,28.68,115.89,Ruidu Hotel
293,Milkovo,BG,42.8,broken clouds,41.53,24.68,Семеен хотел Смолена
295,Chilmari,BD,68.54,clear sky,25.59,89.66,Jela Porishod Dak Banglo
296,Tuy Hoa,VN,74.95,overcast clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
297,Buala,SB,83.75,broken clouds,-8.15,159.59,Maringe Lagoon Lodge
298,Fukue,JP,50.0,few clouds,35.03,136.69,ホテル ファインガーデン 桑名長島店
299,Maningrida,AU,89.76,overcast clouds,-12.05,134.23,"Batchelor Institute Vocational Occupancy Quarters, (VOQ)"
300,Khuzhir,RU,22.14,overcast clouds,53.19,107.35,Отель на озере Байкал Baikal View
301,Torres,BR,74.82,clear sky,-29.34,-49.73,Farol Hotel
302,Lynn Haven,US,46.0,clear sky,30.25,-85.65,Wingate by Wyndham Panama City Area Lynn Haven
303,Bra,IT,39.99,few clouds,44.7,7.85,Hotel Cavalieri
306,Hirara,JP,75.2,scattered clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
307,Husavik,CA,12.99,few clouds,50.56,-96.99,Idle Wheels RV Park
309,Isla Mujeres,MX,68.0,few clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
310,Victoria,BN,87.8,broken clouds,5.28,115.24,Tiara Labuan Hotel
